Transfer Authority,Fiscal Year of Request,Implementing Agency,Country (Transfer to),Item Description,Status,Status Date,Qty Requested,Qty Allocated,Qty Accepted,Qty Rejected,Total Delivered Qty,Total Acquisition Value,Total Current Value
Grant Authority,2017,Defense Logistics Agency (DLA),Philippines,"ALL TERRAIN VEHICLE, WHEELED",EDA Cancelled,6/22/17,6,6,0,0,0,"$66,190.00","$34,095.00"
Grant Authority,2017,Defense Logistics Agency (DLA),Philippines,"TRUCK, CARGO 5 TON WITHOUT WINCH",EDA Delivered,11/8/17,1,1,0,0,1,"$67,139.00","$20,141.70"
Grant Authority,2017,Defense Logistics Agency (DLA),Philippines,"TRUCK, CARGO 5 TON WITHOUT WINCH",LOA Offered,11/8/17,12,12,0,0,11,"$805,668.00","$161,133.60"
Grant Authority,2017,Defense Logistics Agency (DLA),Philippines,"TRUCK, CARGO 5 TON M925",LOA Offered,11/8/17,1,1,0,0,1,"$75,278.00","$15,055.60"
Grant Authority,2017,Defense Logistics Agency (DLA),Philippines,"TRUCK, CARGO D/S M923",EDA Delivered,11/8/17,1,1,0,0,2,"$70,613.00","$21,183.90"
Grant Authority,2017,Defense Logistics Agency (DLA),Philippines,"TRUCK, SEPTIC 1,300 GAL",EDA Delivered,9/28/17,1,1,1,0,1,"$58,144.00","$17,443.20"
Grant Authority,2017,Air Force,Philippines,T56-15A Engines,EDA Delivered,9/30/18,5,5,0,0,5,"$5,097,175.00","$2,368,226.00"
Grant Authority,2017,Defense Logistics Agency (DLA),Philippines,FORD RANGER PICK UP,EDA Delivered,9/28/17,2,2,2,0,2,"$41,140.00","$12,342.00"
Grant Authority,2017,Defense Logistics Agency (DLA),Philippines,"TRUCK TANK AIRCRAFT 5,000 GAL",EDA Delivered,9/28/17,1,1,1,0,1,"$116,195.00","$34,858.50"
Grant Authority,2017,Defense Logistics Agency (DLA),Philippines,"TRUCK TANK FUEL 2,000 GALLON",EDA Delivered,9/28/17,2,2,2,0,2,"$154,330.00","$46,299.00"
Grant Authority,2017,Defense Logistics Agency (DLA),Philippines,"TRUCK, CARGO DROPSIDE 5 TON WITHOUT WINCH M923A1",LOA Offered,11/8/17,1,1,0,0,1,"$74,450.00","$7,445.00"
Grant Authority,2017,Defense Logistics Agency (DLA),Philippines,"TRUCK, CARGO D/S M923",LOA Offered,11/8/17,2,2,0,0,0,"$141,226.00","$14,122.60"
Grant Authority,2017,Defense Logistics Agency (DLA),Philippines,"TRUCK, CARGO 5 TON WITHOUT WINCH",LOA Offered,11/8/17,1,1,0,0,3,"$67,139.00","$6,713.90"
Grant Authority,2017,Defense Logistics Agency (DLA),Philippines,"TRUCK, CARGO, 2 1/2 TON WITHOUT WINCH M35A2C",LOA Offered,11/8/17,1,1,0,0,1,"$56,832.00","$5,683.20"
Grant Authority,2017,Air Force,Romania,T-56-15A Aircraft Engines,EDA Delivered,9/30/18,16,16,16,0,16,"$16,310,960.00","$6,392,846.00"
FMS Sales,2017,Navy,Spain,SH-60F SEAHAWK MARITIME HELICOPTER,Service Authorized to Supply EDA,12/18/17,2,2,0,0,0,"$46,762,270.00","$9,352,454.00"
FMS Sales,2017,Navy,Taiwan,P-3C RELATED SPARE PARTS AND EQUIPMENT,Service Authorized to Supply EDA,10/19/17,N/A,N/A,N/A,N/A,N/A,"$1,000,000.00","$500,000.00"
FMS Sales,2017,Navy,Taiwan,E-2 AIRCRAFT SPARE PARTS,Service Authorized to Supply EDA,10/19/17,N/A,N/A,N/A,N/A,N/A,"$1,000,000.00","$500,000.00"
Grant Authority,2017,Defense Logistics Agency (DLA),Trinidad/Tobago,TENT,Service Authorized to Supply EDA,11/29/17,4,4,0,0,0,"$56,375.88","$11,275.18"
Grant Authority,2017,Defense Logistics Agency (DLA),Trinidad/Tobago,"KITCHEN,FIELD,TRAILER MOUNTED",Service Authorized to Supply EDA,11/29/17,2,2,0,0,0,"$290,000.00","$58,000.00"
Grant Authority,2017,Defense Logistics Agency (DLA),Trinidad/Tobago,"KITCHEN,FIELD,TRAILER MOUNTED",Service Authorized to Supply EDA,11/29/17,1,1,0,0,0,"$145,000.00","$29,000.00"
Grant Authority,2017,Defense Logistics Agency (DLA),Trinidad/Tobago,"KITCHEN,FIELD,TRAILER MOUNTED",Service Authorized to Supply EDA,11/29/17,1,1,0,0,0,"$145,000.00","$43,500.00"
Grant Authority,2017,Defense Logistics Agency (DLA),Trinidad/Tobago,"KITCHEN,FIELD,TRAILER MOUNTED",Service Authorized to Supply EDA,11/29/17,1,1,0,0,0,"$145,000.00","$29,000.00"
Grant Authority,2017,Defense Logistics Agency (DLA),Trinidad/Tobago,"TENT, MODEL 6, GREEN, DRASH",Service Authorized to Supply EDA,11/29/17,N/A,N/A,N/A,N/A,N/A,"$16,932.35","$5,079.71"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"CLEANING EQUIPMENT, SUPPLIES AND FUELS LUBRICANTS, OILS AND WAXES",Service Authorized to Supply EDA,12/14/17,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"AUTOMATIC DATA PROCESSING EQUIPMENT (INCLUDING FIRMWARE), SOFTWARE, SUPPLIES AND SUPPORT EQUIP",Service Authorized to Supply EDA,12/14/17,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"NONMETTALLIC FABRICATED MATERIALS, METAL BARS, SHEETS, AND MISCELLANEOUS",Service Authorized to Supply EDA,12/14/17,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"INSTRUMENTS, LABORATORY, PHOTOGRAPHIC AND TRAINING EQUIPMENT AND SUPPLIES",EDA Delivered,9/26/19,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"AIRCRAFT PARTS, COMPONENTS AND ACCESSORIES",EDA Delivered,9/26/19,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"MEDICAL, DENTAL AND VETERINARY EQUIPMENT AND SUPPLIES",EDA Delivered,4/5/19,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"LIGHTING, ALARM, SIGNAL AND SECURITY SYSTEMS AND COMPONENTS",Service Authorized to Supply EDA,12/14/17,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Army,Tunisia,"M9 Pistols, Semi-Automatic 9mm",EDA Delivered,9/30/19,10000,10000,0,0,10000,"$6,360,000.00","$636,000.00"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"ELECTRICAL, ELECTRONIC AND FIBER OPTIC EQUIPMENT, PARTS AND COMPONENTS",EDA Delivered,9/26/19,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"COMMUNICATION, DETECTION, EQUIPMENT AND COMPONENTS",EDA Delivered,9/26/19,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,MAINTENANCE SUPPLIES AND CONSTRUCTION AND BUILDING MATERIALS,EDA Delivered,9/26/19,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"MAINTENANCE AND REPAIR TOOLS, EQUIPMENT ",EDA Delivered,9/26/19,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"WATER, PLUMBING, WASTE DISPOSAL, AND FLOW CONTROL EQUIPMENT",Service Authorized to Supply EDA,12/14/17,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"RESCUE, AND SAFETY EQUIPMENT",Service Authorized to Supply EDA,12/14/17,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"HEATING, COOLING, VENTILATION AND AIR CONDITIONING EQUIPMENT",Service Authorized to Supply EDA,12/14/17,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,MATERIALS HANDLING EQUIPMENT AND SUPPLIES,Service Authorized to Supply EDA,12/14/17,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,SUPPORT MACHINERY AND EQUIPMENT,Service Authorized to Supply EDA,12/14/17,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,MECHANICAL POWER TRANSMISSION EQUIPMENT / BEARINGS,EDA Delivered,9/26/19,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"TEXTILES AND CLOTHING, INDIVIDUAL EQUIPMENT",EDA Delivered,9/30/19,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Army,Tunisia,"OH-58D Army Helicopter Improvement Program (AHIP), Rotary Wing Aircraft",EDA Rejected,10/20/17,6,6,0,6,0,"$24,454,800.00","$7,336,440.00"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"ENGINES, TURBINES, COMPONENTS AND ACCESSORIES",EDA Delivered,9/26/19,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,VEHICULAR EQUIPMENT COMPONENTS AND ACCESSORIES,Service Authorized to Supply EDA,12/14/17,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,"AIRCRAFT LAUNCHING, LANDING, AND GROUND HANDLING EQUIPMENT",EDA Delivered,9/26/19,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Defense Logistics Agency (DLA),Tunisia,MAINTENANCE SUPPORT EQUIPMENT AND SUPPLIES,Service Authorized to Supply EDA,12/14/17,N/A,N/A,N/A,N/A,N/A,"$2,091,306.44","$627,391.93"
Grant Authority,2017,Army,Turkey,"M119A2 Propelling Charges, (155mm Howitzer)",EDA Delivered,12/28/18,50000,50000,0,0,50000,"$11,350,000.00","$3,405,000.00"
Grant Authority,2016,Army,Albania,MRAP MAXXPRO PLUS,EDA Delivered,3/1/17,3,3,3,0,3,"$2,067,000.00","$206,700.00"
Grant Authority,2016,Army,Argentina,"M577A2 CARRIER, COMMAND POST",Service Authorized to Supply EDA,12/29/17,6,6,0,0,0,"$1,939,068.00","$193,907.00"
Grant Authority,2016,Army,Argentina,"M113A2 CARRIER, PERSONNEL, FULL TRACKED",Service Authorized to Supply EDA,12/29/17,93,93,0,0,0,"$22,770,492.00","$2,277,049.20"
FMS Sales,2016,Navy,Australia,"SPARE AND REPAIR PARTS, F/A-18F AND G",Service Authorized to Supply EDA,3/4/16,N/A,N/A,N/A,N/A,N/A,"$360,000.00","$180,000.00"
Grant Authority,2016,Navy,Bahrain,OUTFIT AND EQUIMENT (MK V SOC),EDA Delivered,12/31/18,0,0,0,0,2,"$2,500,000.00","$250,000.00"
Grant Authority,2016,Army,Bahrain,"HAWK BATTERY COMMAND POST, GUIDED MISSILES",Service Authorized to Supply EDA,7/16/19,2,2,0,0,0,"$1,484,116.00","$148,411.60"
Grant Authority,2016,Army,Bahrain,"Continuous-Wave Acquisition Radar (CWAR) RADAR SET, SEMITRAILER MOUNTED",Service Authorized to Supply EDA,7/16/19,3,3,0,0,0,"$4,666,860.00","$466,686.00"
Grant Authority,2016,Army,Bahrain,"Digital Launchers (DLN) LAUNCHER-TRANSPORTER, GUIDED MISSILE",Service Authorized to Supply EDA,7/16/19,10,10,0,0,0,"$6,000,000.00","$600,000.00"
Grant Authority,2016,Army,Bahrain,"LOADER-TRANSPORTER,GUIDED MISSILE",Service Authorized to Supply EDA,7/16/19,3,3,0,0,0,"$480,000.00","$48,000.00"
Grant Authority,2016,Navy,Bahrain,MK V  SPECIAL OPERATIONS CRAFT,EDA Delivered,7/13/18,3,3,3,0,3,"$15,999,999.00","$1,599,999.00"
Grant Authority,2016,Army,Bahrain,"CHASSIS, TRAILER",Service Authorized to Supply EDA,7/16/19,4,4,0,0,0,"$16,208.00","$1,620.80"
Grant Authority,2016,Army,Bahrain,"M198 Howiters, Medium Tow",EDA Delivered,9/30/19,6,6,0,0,6,"$6,194,022.00","$309,701.00"
Grant Authority,2016,Navy,Brazil,J52 P408 ENGINE,EDA Delivered,9/20/17,3,3,3,0,3,"$3,780,000.00","$1,134,000.00"
Grant Authority,2016,Army,Brazil,M109A5 Self-Propelled Howitzer with Cannon Tube,EDA Delivered,8/16/18,60,60,0,0,60,"$55,397,160.00","$2,769,858.00"
Grant Authority,2016,Navy,Brazil,"ENGINE CONTAINER, J52 P408 ENGINE",EDA Delivered,9/20/17,10,10,10,0,10,"$130,600.00","$52,240.00"
Grant Authority,2016,Navy,Brazil,J52 P408 ENGINE,EDA Delivered,9/20/17,7,7,7,0,7,"$8,820,000.00","$882,000.00"
Grant Authority,2016,Navy,Burundi,MRAP COUGAR CAT I A1 WITH ISS,EDA Accepted/LOA Implemented,6/27/16,6,6,6,0,0,"$4,232,526.00","$423,252.00"
Grant Authority,2016,Navy,Chile,"EX-MOHAWK, FLEET OCEAN TUG+INSTALLED EQUIP",EDA Cancelled,5/16/16,1,1,0,1,0,"$15,000,000.00","$3,000,000.00"
Grant Authority,2016,Navy,Costa Rica,OUTFIT AND EQUIPMENT,EDA Delivered,9/30/17,N/A,N/A,N/A,N/A,N/A,"$990,000.00","$99,000.00"
Grant Authority,2016,Air Force,Costa Rica,C-145A Skytruck Aircraft,EDA Delivered,9/30/18,2,2,0,0,2,"$20,000,000.00","$6,000,000.00"
Grant Authority,2016,Navy,Costa Rica,"ISLAND CLASS PATROL BOATS, USCG",EDA Delivered,9/30/17,2,2,2,0,2,"$14,000,000.00","$1,400,000.00"
Grant Authority,2016,Army,Croatia,TURRET HOLDING FIXTURE,Service Authorized to Supply EDA,7/22/16,4,4,0,0,0,"$41,404.00","$12,421.20"
Grant Authority,2016,Army,Croatia,TURRET HOISTING FIXTURE,Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$2,988.00",$896.40
Grant Authority,2016,Army,Croatia,"SERVICE UNIT, TCU",Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$59,664.00","$17,899.20"
Grant Authority,2016,Army,Croatia,COOLANT HAND PUMP,Service Authorized to Supply EDA,7/22/16,6,6,0,0,0,"$15,498.00","$4,649.40"
Grant Authority,2016,Army,Croatia,"CABLE, OH-58D ADAPTER (TEMP TS)",Service Authorized to Supply EDA,7/22/16,4,4,0,0,0,"$1,588.00",$476.40
Grant Authority,2016,Army,Croatia,TURBINE TEMPERATURE TEST SET,Service Authorized to Supply EDA,7/22/16,4,4,0,0,0,"$19,656.00","$5,896.80"
Grant Authority,2016,Army,Croatia,"DRIVER, INPUT SEAL",Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,$900.06,$270.02
Grant Authority,2016,Army,Croatia,"GROUND KIT, OH58D",Service Authorized to Supply EDA,7/22/16,6,6,0,0,0,"$63,780.00","$19,134.00"
Grant Authority,2016,Army,Croatia,DATA BUSS REPAIR KIT,Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$33,631.53","$10,089.46"
Grant Authority,2016,Army,Croatia,Data bus analyzer/tester set,Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$263,499.00","$79,049.70"
Grant Authority,2016,Army,Croatia,"KIT, SEAL, REMOVAL/INSTALLATION",Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$5,088.75","$1,526.63"
Grant Authority,2016,Army,Croatia,M/R HUB SUPPORT ASSY,Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$3,749.25","$1,124.78"
Grant Authority,2016,Army,Croatia,"BRACKET,MOUNTING",Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,$638.37,$191.52
Grant Authority,2016,Army,Croatia,SLING ASSEMBLY,Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$4,878.66","$1,463.60"
Grant Authority,2016,Army,Croatia,STAND ENG TURN,Service Authorized to Supply EDA,7/22/16,4,4,0,0,0,"$37,148.28","$11,144.48"
Grant Authority,2016,Army,Croatia,"TEST KIT, HEATER (AIRCOMM)",Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$30,000.00","$9,000.00"
Grant Authority,2016,Army,Croatia,"TEST SET DIGITAL, (Fuel QTY)",Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$26,037.00","$7,811.10"
Grant Authority,2016,Army,Croatia,"TEST SET, ELECTRICAL M3P MACHINE GUN",Service Authorized to Supply EDA,7/22/16,6,6,0,0,0,"$27,000.00","$8,100.00"
Grant Authority,2016,Army,Croatia,"KIT, MAINTENANCE, SUPPORT",Service Authorized to Supply EDA,7/22/16,6,6,0,0,0,"$120,306.00","$36,091.80"
Grant Authority,2016,Army,Croatia,DRIVE SHAFT TOOL,Service Authorized to Supply EDA,7/22/16,8,8,0,0,0,"$3,984.00","$1,195.20"
Grant Authority,2016,Army,Croatia,"TOOL, SEAL REMOVAL",Service Authorized to Supply EDA,7/22/16,2,2,0,0,0,$578.86,$173.66
Grant Authority,2016,Army,Croatia,"TOOL, STAKE, BEARING",Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$3,335.04","$1,000.51"
Grant Authority,2016,Army,Croatia,"ADAPTER, HUB-BLADE",Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$32,228.07","$9,668.42"
Grant Authority,2016,Army,Croatia,TRAILER ADAPTER XMSN,Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$22,168.53","$6,650.60"
Grant Authority,2016,Army,Croatia,"TOOL KIT, AIRCRAFT MAINTENANCE",Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$51,054.00","$15,316.20"
Grant Authority,2016,Army,Croatia,WRENCH NUT SEAL,Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,$573.33,$172.00
Grant Authority,2016,Army,Croatia,"WRENCH, SPANNER",Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,$414.12,$124.24
Grant Authority,2016,Army,Croatia,XMSN COVER/LIFT,Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$4,437.18","$1,331.15"
Grant Authority,2016,Army,Croatia,"Adapter-Torque, Turbine Attach Nut, Lower",Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,$617.34,$185.20
Grant Authority,2016,Army,Croatia,"Adapter--Turning, Engine",Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,$485.28,$145.58
Grant Authority,2016,Army,Croatia,Pusher--Seal Support Seal,Service Authorized to Supply EDA,7/22/16,1,1,0,0,0,$728.79,$218.64
Grant Authority,2016,Army,Croatia,Pusher--PTO Seal,Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$2,719.02",$815.71
Grant Authority,2016,Army,Croatia,OH-58 MMS TEST CABLE,Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$30,000.00","$9,000.00"
Grant Authority,2016,Army,Croatia,"Acft Covers, Cocoon Kit",Service Authorized to Supply EDA,7/22/16,24,24,0,0,0,"$168,576.00","$50,572.80"
Grant Authority,2016,Army,Croatia,"Wheel Set, Transportation, Helicopter",Service Authorized to Supply EDA,7/22/16,12,12,0,0,0,"$75,508.92","$22,652.68"
Grant Authority,2016,Army,Croatia,"M279A1, LAUNCHER, GUIDED MISSILE, AIRCRAFT, HELLFIRE",Service Authorized to Supply EDA,8/5/16,17,17,0,0,0,"$853,349.00","$85,335.00"
Grant Authority,2016,Army,Croatia,"BREAKOUT BOX, TCU",Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$25,848.00","$7,754.40"
Grant Authority,2016,Army,Croatia,OH-58D ARMAMENT TOOL KIT,Service Authorized to Supply EDA,7/22/16,6,6,0,0,0,"$242,148.00","$72,644.40"
Grant Authority,2016,Army,Croatia,"CLEVIS ASSY, MAST LIFT",Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$8,872.29","$2,661.69"
Grant Authority,2016,Army,Croatia,BORESCOPE KIT,Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$44,675.91","$13,402.77"
Grant Authority,2016,Army,Croatia,BACKLASH TOOL,Service Authorized to Supply EDA,7/22/16,3,3,0,0,0,"$1,137.00",$341.10
Grant Authority,2016,Army,Egypt,Caiman CAT I Base,EDA Delivered,7/28/18,68,68,68,0,68,"$28,016,000.00","$2,801,600.00"
Grant Authority,2016,Air Force,Egypt,"FIRST GENERATION TARGETING POD, LANTIRN",EDA Delivered,9/30/18,65,65,31,0,62,"$233,535,185.00","$11,676,759.25"
Grant Authority,2016,Army,Egypt,RG-33 CAT II 6x6 Base,EDA Delivered,9/14/18,100,100,0,0,15,"$62,980,000.00","$6,298,000.00"
Grant Authority,2016,Air Force,Estonia,C-145A Skytruck Aircraft,EDA Delivered,9/30/19,2,2,2,0,2,"$20,000,000.00","$6,000,000.00"
Grant Authority,2016,Air Force,Gabon,T56A-15 ENGINE,EDA Rejected,11/16/17,4,4,0,4,0,"$5,000,000.00","$1,000,000.00"
Grant Authority,2016,Air Force,Gabon,LEADING EDGE,EDA Rejected,11/16/17,2,2,0,2,0,"$106,928.00","$21,386.00"
Grant Authority,2016,Air Force,Gabon,LEADING EDGE,EDA Rejected,11/16/17,2,2,0,2,0,"$49,166.00","$9,833.00"
Grant Authority,2016,Air Force,Gabon,HORIZONTAL STABILIZER,EDA Rejected,11/16/17,1,1,0,1,0,"$62,750.00","$12,550.00"
Grant Authority,2016,Air Force,Gabon,OUTER WING SET,EDA Rejected,11/16/17,1,1,0,1,0,"$1,327,700.00","$265,540.00"
Grant Authority,2016,Air Force,Gabon,PROPELLER,EDA Rejected,11/16/17,4,4,0,4,0,"$1,000,000.00","$200,000.00"
Grant Authority,2016,Air Force,Gabon,AILERON,EDA Rejected,11/16/17,2,2,0,2,0,"$216,084.00","$43,217.00"
Grant Authority,2016,Air Force,Gabon,RUDDER,EDA Rejected,11/16/17,1,1,0,1,0,"$274,179.00","$54,836.00"
Grant Authority,2016,Air Force,Gabon,ELEVATOR,EDA Rejected,11/16/17,2,2,0,2,0,"$296,696.00","$59,339.00"
Grant Authority,2016,Air Force,Gabon,FLAP (OUTER WING),EDA Rejected,11/16/17,2,2,0,2,0,"$345,252.00","$69,050.00"
Grant Authority,2016,Air Force,Gabon,FLAP (CENTER WING),EDA Rejected,11/16/17,2,2,0,2,0,"$373,988.00","$74,798.00"
Grant Authority,2016,Air Force,Gabon,CARGO DOOR,EDA Rejected,11/16/17,1,1,0,1,0,"$121,371.00","$24,274.00"
Grant Authority,2016,Air Force,Gabon,CARGO RAMP,EDA Rejected,11/16/17,1,1,0,1,0,"$499,296.00","$99,859.00"
Grant Authority,2016,Air Force,Gabon,CARGO FLOORING,EDA Rejected,11/16/17,3,3,0,3,0,"$3,600.00",$720.00
Grant Authority,2016,Air Force,Gabon,CARGO FLOORING,EDA Rejected,11/16/17,3,3,0,3,0,$846.00,$169.00
Grant Authority,2016,Air Force,Gabon,CARGO FLOORING,EDA Rejected,11/16/17,3,3,0,3,0,"$1,737.00",$347.00
Grant Authority,2016,Air Force,Gabon,NOSE LANDING GEAR DOOR ASSEMBLY,EDA Rejected,11/16/17,1,1,0,1,0,"$22,563.00","$4,513.00"
Grant Authority,2016,Air Force,Gabon,MAIN LANDING GEAR DOOR ASSEMBLY,EDA Rejected,11/16/17,2,2,0,2,0,"$29,364.00","$5,873.00"
Grant Authority,2016,Air Force,Gabon,VERTICAL STABILIZER,EDA Rejected,11/16/17,1,1,0,1,0,"$27,383.00","$5,477.00"
Grant Authority,2016,Air Force,Gabon,EXTERNAL TANK AND PYLON ASSEMBLY,EDA Rejected,11/16/17,2,2,0,2,0,"$125,500.00","$25,100.00"
Grant Authority,2016,Air Force,Gabon,NOSE RADOME,EDA Rejected,11/16/17,1,1,0,1,0,"$56,040.00","$11,208.00"
Grant Authority,2016,Air Force,Gabon,LEADING EDGE,EDA Rejected,11/16/17,2,2,0,2,0,"$95,926.00","$19,185.00"
Grant Authority,2016,Air Force,Gabon,LEADING EDGE,EDA Rejected,11/16/17,2,2,0,2,0,"$179,780.00","$35,956.00"
Grant Authority,2016,Air Force,Greece,"FIRST GENERATION TARGETING POD, LANTIRN",EDA Delivered,9/30/19,20,20,20,0,20,"$71,856,980.00","$3,592,849.00"
Grant Authority,2016,Army,Greece,"TRAINER, FLIGHT SIMULATOR, CH-47D",EDA Delivered,10/7/18,2,2,0,0,2,"$2,500,000.00","$750,000.00"
Grant Authority,2016,Navy,Greece,J85-GE-4A Engine,EDA Delivered,5/25/17,15,15,15,0,15,"$2,726,145.00","$136,307.30"
Grant Authority,2016,Army,Hungary,MRAP MAXXPRO PLUS,EDA Delivered,3/12/17,12,12,12,0,12,"$8,268,000.00","$826,800.00"
Grant Authority,2016,Army,Iraq,Relay 3PDT  24 VDC Coil (ALT PN H377139-324),Service Authorized to Supply EDA,10/28/16,4,4,0,0,0,$540.00,$162.00
Grant Authority,2016,Army,Iraq,Relay Socket K1 (ALT PN H377139-326),Service Authorized to Supply EDA,10/28/16,2,2,0,0,0,$42.00,$12.60
Grant Authority,2016,Army,Iraq,W201 Telemetry Cable 250ft (ALT PN H377139-338),Service Authorized to Supply EDA,10/28/16,5,5,0,0,0,"$1,375.00",$412.50
Grant Authority,2016,Army,Iraq,Floodlight portable w/stand / Aerostat only,Service Authorized to Supply EDA,10/28/16,1,1,0,0,0,$119.00,$35.70
Grant Authority,2016,Army,Iraq,Tower Extension (Aerostat Only),Service Authorized to Supply EDA,10/28/16,4,4,0,0,0,"$2,240.00",$672.00
Grant Authority,2016,Army,Iraq,Pin Retaining,Service Authorized to Supply EDA,10/28/16,11,11,0,0,0,$16.50,$4.95
Grant Authority,2016,Army,Iraq,Anti Rotation Bracket,Service Authorized to Supply EDA,10/28/16,1,1,0,0,0,$375.00,$112.50
Grant Authority,2016,Army,Iraq,Flexible Hose 100',Service Authorized to Supply EDA,10/28/16,2,2,0,0,0,$700.00,$210.00
Grant Authority,2016,Army,Iraq,Helium Manifold w/ Gauge,Service Authorized to Supply EDA,10/28/16,1,1,0,0,0,$357.00,$107.10
Grant Authority,2016,Army,Iraq,Puller Assembly Areostat Transfer,Service Authorized to Supply EDA,10/28/16,10,10,0,0,0,"$2,300.00",$690.00
Grant Authority,2016,Army,Iraq,17M Flexible Structure Assy - Bag w/Hardware,Service Authorized to Supply EDA,10/28/16,1,1,0,0,0,"$210,000.00","$63,000.00"
Grant Authority,2016,Army,Iraq,Snubber Line,Service Authorized to Supply EDA,10/28/16,3,3,0,0,0,$435.00,$130.50
Grant Authority,2016,Army,Iraq,15/17M Helium Manifold Adapter Kit,Service Authorized to Supply EDA,10/28/16,2,2,0,0,0,"$1,098.00",$329.40
Grant Authority,2016,Army,Iraq,W201 Cable 1000 ft,Service Authorized to Supply EDA,10/28/16,1,1,0,0,0,"$1,400.00",$420.00
Grant Authority,2016,Army,Iraq,30X50 Tarp- Aerostat Only,Service Authorized to Supply EDA,10/28/16,4,4,0,0,0,$260.00,$78.00
